"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"eDNA_32"	0.059	0.062	0.061	0.06	0.059	0.059	0.059	0.059	0.061	0.059	0.059	0.059	0.059	0.06	0.059	0.061	0.061	0.058	0.061	0.059	0.061	0.06	0.059	0.061	0.06	0.061	0.059	0.059	0.06	0.061	0.06	0.062	0.06	0.059	0.06	0.061	0.059	0.059	0.06	0.061	0.061	0.059	0.06	0.059	0.059	0.06	0.059	0.06	0.06	0.061	0.059	0.06	0.061	0.061	0.06	0.06	0.059	0.06	0.059	0.059	0.059	0.059	0.061	0.061	0.061	0.06	0.058	0.059	0.06	0.059	0.061	0.058	0.061	0.059	0.06	0.061	0.06	0.059	0.06	0.06	0.06	0.06	0.059	0.059	0.059	0.059	0.059	0.061	0.059	0.06	0.061	0.06	0.06	0.06	0.06	0.06	0.06	0.061	0.06	0.059
"eDNA_33"	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.013	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.013	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.013	0.014	0.014	0.014	0.014	0.014	0.013	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.013	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.013	0.013	0.014	0.014	0.015	0.013	0.014	0.014	0.014	0.014	0.013	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.013	0.014	0.013	0.015	0.014	0.014	0.013	0.014	0.014	0.014	0.014	0.013	0.013	0.014	0.014
"eDNA_34"	0.09	0.087	0.086	0.084	0.092	0.088	0.089	0.092	0.09	0.092	0.089	0.092	0.089	0.089	0.088	0.088	0.092	0.092	0.09	0.09	0.087	0.092	0.092	0.087	0.089	0.088	0.092	0.088	0.09	0.088	0.092	0.093	0.092	0.09	0.089	0.086	0.094	0.089	0.087	0.09	0.09	0.093	0.089	0.089	0.093	0.088	0.092	0.09	0.089	0.092	0.09	0.091	0.086	0.089	0.09	0.093	0.096	0.089	0.092	0.092	0.088	0.09	0.09	0.093	0.095	0.09	0.091	0.088	0.089	0.092	0.095	0.091	0.092	0.095	0.089	0.093	0.089	0.09	0.087	0.092	0.092	0.089	0.091	0.088	0.088	0.089	0.094	0.093	0.089	0.091	0.089	0.092	0.093	0.09	0.089	0.092	0.089	0.092	0.092	0.091
"eDNA_35"	0.011	0.01	0.01	0.01	0.01	0.01	0.01	0.011	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.011	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.011	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.011	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.011	0.011	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.011	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.011	0.01	0.01	0.01	0.01	0.01	0.011	0.01	0.01	0.01	0.01	0.01	0.011
"eDNA_36"	0.062	0.061	0.062	0.063	0.063	0.06	0.061	0.062	0.06	0.06	0.061	0.062	0.061	0.062	0.062	0.063	0.061	0.063	0.061	0.063	0.063	0.063	0.061	0.061	0.063	0.062	0.062	0.061	0.06	0.063	0.059	0.063	0.063	0.061	0.062	0.06	0.062	0.061	0.062	0.061	0.06	0.061	0.062	0.06	0.062	0.062	0.062	0.062	0.063	0.061	0.061	0.06	0.063	0.059	0.061	0.061	0.061	0.062	0.062	0.062	0.063	0.062	0.06	0.061	0.061	0.062	0.061	0.06	0.062	0.064	0.061	0.061	0.061	0.062	0.061	0.062	0.061	0.059	0.061	0.062	0.061	0.061	0.063	0.061	0.062	0.06	0.061	0.061	0.062	0.063	0.06	0.063	0.062	0.061	0.06	0.061	0.061	0.06	0.06	0.06
"eDNA_37"	0.059	0.059	0.06	0.06	0.061	0.059	0.06	0.06	0.06	0.06	0.058	0.06	0.058	0.059	0.06	0.059	0.059	0.059	0.059	0.06	0.059	0.059	0.059	0.059	0.06	0.059	0.058	0.06	0.06	0.06	0.059	0.058	0.059	0.058	0.06	0.058	0.061	0.06	0.058	0.059	0.059	0.06	0.06	0.059	0.059	0.057	0.06	0.06	0.06	0.058	0.058	0.059	0.058	0.059	0.06	0.058	0.061	0.059	0.058	0.059	0.059	0.059	0.06	0.059	0.059	0.059	0.057	0.059	0.059	0.059	0.06	0.058	0.059	0.06	0.06	0.06	0.062	0.058	0.058	0.06	0.06	0.058	0.061	0.061	0.06	0.058	0.06	0.059	0.06	0.059	0.059	0.06	0.059	0.06	0.06	0.061	0.06	0.06	0.06	0.06
"eDNA_38"	0.008	0.008	0.009	0.009	0.009	0.009	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.009	0.008	0.008	0.009	0.008	0.008	0.008	0.008	0.009	0.008	0.009	0.008	0.008	0.009	0.008	0.008	0.008	0.008	0.008	0.008	0.009	0.008	0.008	0.009	0.008	0.008	0.008	0.008	0.009	0.009	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.009	0.009	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.009	0.009	0.008	0.008	0.008	0.008	0.009	0.008	0.008	0.008	0.009	0.008	0.009	0.009	0.008	0.008	0.008	0.009	0.008	0.009	0.009	0.008	0.008	0.009	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.009	0.009	0.009	0.009	0.008	0.009	0.009	0.009
"eDNA_39"	0.007	0.008	0.008	0.008	0.007	0.008	0.008	0.007	0.008	0.008	0.007	0.007	0.008	0.007	0.007	0.008	0.007	0.007	0.008	0.007	0.007	0.007	0.007	0.008	0.008	0.008	0.008	0.008	0.007	0.008	0.007	0.007	0.007	0.007	0.008	0.007	0.007	0.008	0.007	0.008	0.008	0.007	0.008	0.007	0.007	0.007	0.007	0.007	0.008	0.008	0.008	0.007	0.007	0.008	0.008	0.008	0.007	0.008	0.007	0.007	0.007	0.008	0.007	0.007	0.007	0.008	0.008	0.008	0.007	0.007	0.007	0.007	0.007	0.008	0.008	0.007	0.007	0.007	0.008	0.007	0.007	0.007	0.007	0.007	0.008	0.007	0.008	0.008	0.007	0.007	0.008	0.007	0.008	0.008	0.007	0.008	0.007	0.008	0.007	0.008
"eDNA_40"	0.023	0.023	0.022	0.023	0.024	0.022	0.023	0.022	0.023	0.024	0.023	0.024	0.023	0.024	0.023	0.023	0.022	0.023	0.023	0.023	0.023	0.024	0.024	0.023	0.024	0.023	0.023	0.023	0.023	0.024	0.022	0.022	0.024	0.023	0.023	0.024	0.024	0.024	0.021	0.024	0.024	0.024	0.024	0.024	0.023	0.023	0.024	0.023	0.023	0.023	0.023	0.024	0.024	0.023	0.023	0.023	0.024	0.024	0.023	0.023	0.025	0.022	0.022	0.025	0.025	0.024	0.024	0.023	0.024	0.024	0.022	0.023	0.022	0.022	0.022	0.023	0.023	0.024	0.023	0.023	0.024	0.023	0.025	0.023	0.022	0.023	0.024	0.024	0.023	0.024	0.022	0.024	0.023	0.023	0.023	0.024	0.024	0.024	0.024	0.023
"eDNA_41"	0.07	0.07	0.073	0.072	0.07	0.071	0.073	0.074	0.073	0.071	0.074	0.07	0.071	0.07	0.071	0.073	0.071	0.072	0.071	0.072	0.07	0.07	0.071	0.072	0.072	0.071	0.072	0.071	0.071	0.071	0.072	0.069	0.07	0.072	0.072	0.07	0.072	0.07	0.071	0.072	0.07	0.072	0.071	0.069	0.071	0.071	0.072	0.072	0.071	0.07	0.071	0.07	0.073	0.069	0.072	0.072	0.07	0.07	0.071	0.073	0.07	0.072	0.072	0.07	0.071	0.07	0.07	0.072	0.071	0.071	0.071	0.072	0.07	0.07	0.071	0.07	0.072	0.069	0.07	0.07	0.07	0.07	0.073	0.072	0.071	0.071	0.071	0.07	0.07	0.072	0.07	0.07	0.071	0.07	0.071	0.071	0.071	0.072	0.07	0.073
"eDNA_42"	0.056	0.056	0.057	0.058	0.057	0.055	0.056	0.056	0.057	0.057	0.057	0.056	0.057	0.056	0.058	0.057	0.058	0.057	0.057	0.058	0.055	0.059	0.056	0.058	0.056	0.057	0.056	0.057	0.057	0.056	0.057	0.057	0.056	0.057	0.056	0.058	0.056	0.057	0.058	0.056	0.056	0.057	0.056	0.056	0.057	0.057	0.057	0.058	0.056	0.057	0.055	0.056	0.058	0.058	0.057	0.057	0.058	0.056	0.057	0.056	0.057	0.057	0.057	0.057	0.057	0.056	0.056	0.057	0.056	0.057	0.056	0.058	0.056	0.056	0.056	0.056	0.057	0.056	0.056	0.057	0.057	0.056	0.056	0.056	0.057	0.056	0.058	0.057	0.055	0.056	0.057	0.056	0.057	0.057	0.056	0.055	0.058	0.055	0.057	0.057
"eDNA_43"	0.061	0.061	0.062	0.062	0.062	0.062	0.061	0.062	0.062	0.063	0.061	0.062	0.061	0.062	0.06	0.061	0.062	0.062	0.061	0.063	0.062	0.063	0.061	0.062	0.062	0.061	0.062	0.061	0.061	0.062	0.061	0.061	0.059	0.059	0.06	0.061	0.063	0.061	0.062	0.061	0.06	0.061	0.061	0.061	0.061	0.063	0.062	0.062	0.061	0.062	0.062	0.061	0.062	0.062	0.062	0.06	0.063	0.06	0.061	0.062	0.062	0.063	0.06	0.06	0.061	0.061	0.062	0.061	0.062	0.062	0.061	0.061	0.061	0.063	0.061	0.062	0.062	0.061	0.061	0.062	0.062	0.061	0.062	0.061	0.06	0.06	0.062	0.06	0.062	0.06	0.061	0.061	0.062	0.061	0.062	0.062	0.062	0.063	0.061	0.061
"eDNA_44"	0.019	0.019	0.019	0.02	0.019	0.02	0.02	0.019	0.02	0.02	0.02	0.02	0.019	0.02	0.02	0.02	0.02	0.019	0.02	0.019	0.02	0.02	0.019	0.019	0.02	0.02	0.02	0.019	0.019	0.02	0.019	0.02	0.019	0.019	0.02	0.019	0.02	0.02	0.019	0.019	0.02	0.019	0.02	0.02	0.019	0.019	0.02	0.019	0.019	0.02	0.02	0.02	0.019	0.02	0.02	0.019	0.02	0.019	0.02	0.02	0.02	0.019	0.02	0.019	0.02	0.019	0.02	0.02	0.02	0.02	0.019	0.019	0.019	0.019	0.02	0.02	0.019	0.019	0.02	0.019	0.019	0.019	0.019	0.019	0.02	0.019	0.02	0.019	0.02	0.02	0.019	0.019	0.02	0.019	0.02	0.019	0.019	0.02	0.019	0.02
"eDNA_45"	0.059	0.058	0.058	0.059	0.058	0.061	0.06	0.059	0.057	0.059	0.06	0.057	0.059	0.059	0.059	0.06	0.059	0.059	0.058	0.059	0.059	0.06	0.059	0.059	0.059	0.06	0.059	0.058	0.059	0.059	0.059	0.058	0.058	0.059	0.059	0.057	0.06	0.057	0.058	0.058	0.06	0.058	0.058	0.059	0.058	0.059	0.06	0.058	0.059	0.058	0.061	0.059	0.059	0.058	0.059	0.058	0.06	0.058	0.059	0.058	0.059	0.059	0.059	0.058	0.06	0.057	0.056	0.058	0.057	0.058	0.058	0.058	0.059	0.058	0.06	0.057	0.058	0.06	0.059	0.058	0.059	0.059	0.057	0.059	0.059	0.06	0.059	0.06	0.059	0.057	0.06	0.059	0.059	0.057	0.06	0.06	0.058	0.058	0.058	0.059
"eDNA_46"	0.025	0.024	0.024	0.024	0.023	0.023	0.023	0.025	0.024	0.024	0.024	0.023	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.023	0.023	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.025	0.024	0.025	0.025	0.023	0.024	0.023	0.025	0.024	0.024	0.024	0.025	0.023	0.024	0.023	0.024	0.024	0.024	0.024	0.024	0.023	0.025	0.024	0.024	0.024	0.023	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.025	0.024	0.025	0.024	0.024	0.024	0.025	0.025	0.025	0.024	0.024	0.024	0.025	0.023	0.025	0.024	0.024	0.025	0.024	0.023	0.024	0.024	0.024	0.025	0.024	0.024	0.023	0.023	0.024	0.024	0.024	0.024
"eDNA_47"	0.012	0.012	0.012	0.012	0.012	0.013	0.012	0.012	0.012	0.013	0.013	0.012	0.012	0.013	0.013	0.012	0.012	0.013	0.012	0.012	0.012	0.012	0.012	0.013	0.013	0.012	0.012	0.013	0.012	0.013	0.012	0.012	0.012	0.012	0.012	0.012	0.013	0.012	0.012	0.012	0.012	0.012	0.013	0.012	0.012	0.013	0.012	0.012	0.012	0.012	0.013	0.012	0.012	0.012	0.013	0.013	0.012	0.012	0.013	0.013	0.013	0.013	0.012	0.012	0.013	0.013	0.012	0.012	0.012	0.012	0.012	0.013	0.012	0.012	0.012	0.012	0.013	0.012	0.012	0.012	0.012	0.012	0.013	0.012	0.012	0.013	0.012	0.013	0.012	0.013	0.013	0.012	0.012	0.012	0.013	0.013	0.012	0.012	0.013	0.012
"eDNA_48"	0.032	0.032	0.031	0.031	0.031	0.032	0.032	0.03	0.032	0.032	0.032	0.031	0.032	0.032	0.031	0.032	0.031	0.032	0.031	0.031	0.032	0.033	0.033	0.032	0.031	0.032	0.031	0.031	0.032	0.031	0.031	0.031	0.032	0.032	0.032	0.033	0.033	0.033	0.031	0.03	0.032	0.031	0.032	0.032	0.031	0.032	0.031	0.031	0.032	0.032	0.03	0.032	0.032	0.031	0.032	0.032	0.031	0.031	0.031	0.032	0.031	0.032	0.032	0.032	0.032	0.03	0.032	0.032	0.031	0.032	0.031	0.031	0.032	0.031	0.032	0.033	0.031	0.033	0.032	0.032	0.032	0.032	0.031	0.032	0.031	0.032	0.032	0.031	0.031	0.032	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.032	0.031	0.032
"eDNA_49"	0.076	0.08	0.076	0.077	0.077	0.076	0.078	0.078	0.077	0.078	0.078	0.078	0.076	0.076	0.077	0.076	0.077	0.078	0.077	0.077	0.075	0.075	0.077	0.078	0.078	0.079	0.08	0.077	0.075	0.077	0.078	0.078	0.078	0.078	0.079	0.077	0.078	0.079	0.079	0.079	0.074	0.078	0.078	0.078	0.081	0.077	0.076	0.078	0.076	0.076	0.075	0.077	0.08	0.074	0.077	0.075	0.077	0.079	0.077	0.078	0.076	0.08	0.078	0.078	0.079	0.078	0.075	0.076	0.079	0.077	0.078	0.079	0.078	0.077	0.08	0.079	0.078	0.077	0.078	0.075	0.077	0.075	0.076	0.078	0.077	0.078	0.078	0.078	0.078	0.079	0.079	0.076	0.077	0.078	0.077	0.079	0.078	0.077	0.078	0.076
"eDNA_50"	0.064	0.063	0.062	0.065	0.064	0.065	0.063	0.063	0.065	0.065	0.064	0.064	0.064	0.064	0.063	0.064	0.064	0.066	0.065	0.065	0.065	0.064	0.063	0.063	0.064	0.063	0.064	0.065	0.063	0.062	0.064	0.064	0.064	0.066	0.063	0.064	0.062	0.064	0.064	0.065	0.063	0.065	0.064	0.064	0.062	0.065	0.066	0.062	0.064	0.065	0.063	0.064	0.065	0.065	0.064	0.064	0.064	0.063	0.064	0.065	0.064	0.063	0.063	0.064	0.065	0.063	0.064	0.065	0.065	0.064	0.064	0.067	0.065	0.065	0.065	0.064	0.064	0.062	0.062	0.065	0.066	0.065	0.065	0.065	0.065	0.066	0.065	0.063	0.064	0.065	0.064	0.063	0.065	0.063	0.065	0.065	0.063	0.063	0.064	0.064
"eDNA_51"	0.065	0.066	0.067	0.067	0.066	0.066	0.066	0.065	0.066	0.065	0.064	0.065	0.064	0.065	0.065	0.065	0.066	0.066	0.064	0.064	0.064	0.064	0.066	0.064	0.065	0.065	0.064	0.066	0.065	0.066	0.066	0.065	0.065	0.066	0.064	0.065	0.064	0.066	0.064	0.065	0.063	0.064	0.067	0.067	0.066	0.065	0.065	0.065	0.065	0.067	0.064	0.064	0.065	0.065	0.066	0.066	0.065	0.065	0.064	0.066	0.065	0.065	0.064	0.065	0.064	0.065	0.064	0.065	0.065	0.066	0.064	0.065	0.064	0.064	0.064	0.067	0.066	0.066	0.065	0.067	0.066	0.065	0.067	0.065	0.064	0.065	0.064	0.066	0.066	0.066	0.065	0.064	0.067	0.064	0.065	0.065	0.065	0.064	0.065	0.065
"eDNA_52"	0.064	0.065	0.066	0.065	0.065	0.062	0.064	0.063	0.063	0.063	0.066	0.062	0.063	0.064	0.062	0.064	0.065	0.063	0.063	0.064	0.064	0.063	0.063	0.065	0.065	0.063	0.065	0.066	0.064	0.065	0.063	0.064	0.063	0.065	0.064	0.064	0.065	0.064	0.063	0.063	0.066	0.064	0.064	0.064	0.066	0.067	0.063	0.065	0.063	0.064	0.063	0.064	0.063	0.063	0.065	0.065	0.065	0.066	0.064	0.065	0.064	0.063	0.064	0.065	0.065	0.066	0.064	0.065	0.065	0.065	0.065	0.064	0.063	0.064	0.064	0.065	0.065	0.065	0.065	0.063	0.063	0.064	0.067	0.062	0.062	0.065	0.065	0.063	0.064	0.064	0.062	0.065	0.063	0.064	0.063	0.066	0.064	0.066	0.065	0.064
"eDNA_53"	0.018	0.018	0.018	0.018	0.018	0.018	0.019	0.018	0.018	0.018	0.019	0.019	0.019	0.019	0.018	0.019	0.018	0.019	0.019	0.018	0.019	0.018	0.018	0.019	0.018	0.018	0.019	0.018	0.017	0.019	0.018	0.018	0.019	0.019	0.019	0.019	0.019	0.018	0.019	0.018	0.019	0.018	0.019	0.018	0.019	0.019	0.018	0.018	0.019	0.018	0.018	0.018	0.018	0.018	0.018	0.018	0.019	0.019	0.018	0.019	0.018	0.018	0.019	0.019	0.019	0.018	0.018	0.019	0.018	0.019	0.019	0.018	0.019	0.018	0.019	0.018	0.018	0.019	0.019	0.018	0.019	0.018	0.018	0.018	0.019	0.019	0.018	0.018	0.018	0.018	0.018	0.019	0.018	0.019	0.019	0.018	0.018	0.018	0.018	0.019
"eDNA_54"	0.029	0.029	0.029	0.027	0.028	0.029	0.031	0.027	0.029	0.029	0.028	0.028	0.028	0.03	0.029	0.029	0.029	0.029	0.03	0.031	0.029	0.029	0.029	0.028	0.028	0.029	0.03	0.03	0.028	0.027	0.028	0.03	0.029	0.029	0.029	0.03	0.028	0.029	0.029	0.03	0.028	0.028	0.029	0.029	0.028	0.029	0.028	0.027	0.027	0.029	0.03	0.028	0.029	0.03	0.029	0.03	0.028	0.029	0.029	0.028	0.028	0.029	0.027	0.029	0.027	0.028	0.029	0.029	0.031	0.029	0.028	0.028	0.027	0.027	0.031	0.028	0.028	0.03	0.03	0.029	0.027	0.031	0.028	0.028	0.03	0.028	0.03	0.028	0.031	0.03	0.028	0.029	0.027	0.027	0.032	0.028	0.03	0.029	0.028	0.029
"eDNA_55"	0.023	0.023	0.024	0.023	0.024	0.023	0.024	0.023	0.023	0.024	0.023	0.024	0.022	0.024	0.024	0.023	0.023	0.024	0.023	0.024	0.023	0.023	0.024	0.023	0.024	0.024	0.024	0.024	0.023	0.024	0.025	0.023	0.024	0.023	0.024	0.024	0.024	0.024	0.023	0.023	0.023	0.024	0.023	0.023	0.024	0.023	0.024	0.023	0.024	0.023	0.024	0.023	0.024	0.023	0.024	0.024	0.024	0.023	0.023	0.023	0.025	0.024	0.024	0.024	0.024	0.024	0.024	0.023	0.024	0.024	0.023	0.024	0.023	0.024	0.023	0.023	0.024	0.024	0.024	0.023	0.024	0.024	0.023	0.023	0.024	0.023	0.024	0.024	0.024	0.023	0.023	0.023	0.024	0.023	0.024	0.024	0.024	0.024	0.024	0.024
"eDNA_56"	0.034	0.034	0.034	0.034	0.034	0.033	0.035	0.034	0.035	0.033	0.034	0.035	0.036	0.034	0.034	0.034	0.034	0.035	0.036	0.034	0.035	0.033	0.034	0.034	0.035	0.034	0.035	0.034	0.035	0.034	0.035	0.035	0.033	0.035	0.034	0.034	0.034	0.034	0.034	0.034	0.033	0.034	0.034	0.034	0.035	0.035	0.033	0.034	0.035	0.034	0.035	0.035	0.034	0.033	0.035	0.035	0.035	0.034	0.035	0.034	0.033	0.034	0.034	0.035	0.035	0.035	0.034	0.035	0.036	0.034	0.035	0.034	0.034	0.036	0.036	0.034	0.034	0.033	0.035	0.034	0.034	0.034	0.035	0.034	0.034	0.035	0.035	0.035	0.034	0.034	0.034	0.034	0.034	0.034	0.034	0.035	0.034	0.034	0.036	0.035
"eDNA_57"	0.142	0.143	0.143	0.145	0.144	0.146	0.144	0.143	0.144	0.144	0.144	0.143	0.144	0.144	0.144	0.144	0.145	0.144	0.145	0.144	0.144	0.143	0.144	0.144	0.143	0.143	0.144	0.144	0.145	0.145	0.143	0.143	0.144	0.144	0.143	0.143	0.145	0.144	0.144	0.144	0.144	0.144	0.145	0.144	0.144	0.144	0.144	0.144	0.144	0.143	0.144	0.145	0.143	0.144	0.146	0.142	0.144	0.144	0.145	0.144	0.144	0.144	0.144	0.145	0.145	0.145	0.143	0.145	0.143	0.145	0.144	0.144	0.144	0.144	0.143	0.143	0.143	0.144	0.144	0.144	0.144	0.145	0.143	0.144	0.142	0.144	0.143	0.144	0.144	0.145	0.145	0.143	0.144	0.145	0.144	0.145	0.145	0.144	0.144	0.144
"eDNA_58"	0.071	0.07	0.072	0.072	0.073	0.073	0.072	0.07	0.07	0.071	0.069	0.072	0.069	0.071	0.072	0.072	0.071	0.07	0.072	0.069	0.069	0.071	0.071	0.071	0.07	0.069	0.07	0.071	0.073	0.071	0.07	0.072	0.07	0.072	0.07	0.07	0.07	0.072	0.072	0.069	0.071	0.07	0.071	0.073	0.071	0.071	0.072	0.07	0.071	0.07	0.07	0.071	0.07	0.069	0.071	0.069	0.07	0.07	0.071	0.071	0.069	0.068	0.072	0.07	0.07	0.073	0.07	0.073	0.072	0.07	0.069	0.072	0.071	0.071	0.071	0.069	0.071	0.071	0.073	0.07	0.071	0.071	0.069	0.07	0.07	0.07	0.071	0.07	0.073	0.07	0.07	0.071	0.07	0.07	0.071	0.071	0.07	0.069	0.072	0.07
